name_ar,governorate_ar,district,town,gender,birth_year,age,selection_method,category,status,source_url,member_number,management_position
اقبال محمد منصور,ادلب,حارم,دير حسان,M,1982,44,انتخابات,كفاءة,active,https://omrandirasat.org/maps/مخطط-تفاعلي-مجلس-الشعب-السوري-2026/,70,
حسام الدين عبدالرزاق دبيس,ادلب,إدلب المدينة,,M,1981,45,انتخابات,كفاءة,active,https://omrandirasat.org/maps/مخطط-تفاعلي-مجلس-الشعب-السوري-2026/,77,
حسن إبراهيم دغيم,ادلب,معرة النعمان,جرجناز,M,1976,49,تعيين,كفاءة,active,https://omrandirasat.org/maps/مخطط-تفاعلي-مجلس-الشعب-السوري-2026/,148,
خالد أحمد السلوم,ادلب,خان شيخون,حيش,M,1976,50,انتخابات,كفاءة,active,https://omrandirasat.org/maps/مخطط-تفاعلي-مجلس-الشعب-السوري-2026/,72,
طاهر عوض عبدالباقي,ادلب,أريحا,محمبل,M,1970,56,انتخابات,كفاءة,active,https://omrandirasat.org/maps/مخطط-تفاعلي-مجلس-الشعب-السوري-2026/,75,
عبدالحسيب خالد دغمش,ادلب,أريحا,كفرنجد,M,1986,40,انتخابات,كفاءة,active,https://omrandirasat.org/maps/مخطط-تفاعلي-مجلس-الشعب-السوري-2026/,76,
عبدالرزاق سعد عوض,ادلب,إدلب المدينة,زردنا,M,1988,38,انتخابات,كفاءة,active,https://omrandirasat.org/maps/مخطط-تفاعلي-مجلس-الشعب-السوري-2026/,79,
فاطمة عبد اللطيف اليوسف,ادلب,,,F,1991,34,تعيين,,active,https://omrandirasat.org/maps/مخطط-تفاعلي-مجلس-الشعب-السوري-2026/,176,
فرج راكان العقدة,ادلب,معرة النعمان,كفرومة,M,1982,44,انتخابات,أعيان,active,https://omrandirasat.org/maps/مخطط-تفاعلي-مجلس-الشعب-السوري-2026/,69,
مازن أحمد غزال,ادلب,ادلب,تفتناز,M,1970,56,انتخابات,كفاءة,active,https://omrandirasat.org/maps/مخطط-تفاعلي-مجلس-الشعب-السوري-2026/,78,
محمد فراس محمد بديع الجندي,ادلب,معرة النعمان,معرة النعمان,M,1958,68,انتخابات,أعيان,active,https://omrandirasat.org/maps/مخطط-تفاعلي-مجلس-الشعب-السوري-2026/,68,
محمد نايف بلعاس,ادلب,,,M,1981,44,تعيين,,active,https://omrandirasat.org/maps/مخطط-تفاعلي-مجلس-الشعب-السوري-2026/,190,
مرفت محمد صبحي توتو,ادلب,إدلب,,F,1981,44,تعيين,أعيان,active,https://omrandirasat.org/maps/مخطط-تفاعلي-مجلس-الشعب-السوري-2026/,193,
مصطفى عبدالوهاب موسى,ادلب,جسر الشغور,الحمامة,M,1977,49,انتخابات,كفاءة,active,https://omrandirasat.org/maps/مخطط-تفاعلي-مجلس-الشعب-السوري-2026/,73,نائب أول لرئيس المجلس
نجوى بهجت قصاص,ادلب,سرمين,,F,1975,50,تعيين,كفاءة,active,https://omrandirasat.org/maps/مخطط-تفاعلي-مجلس-الشعب-السوري-2026/,201,
وجدي طريف زيدو,ادلب,حارم,سلقين,M,1985,41,انتخابات,كفاءة,active,https://omrandirasat.org/maps/مخطط-تفاعلي-مجلس-الشعب-السوري-2026/,71,
أحمد عبدالله مراد,الحسكة,المالكية,,M,1977,49,انتخابات,كفاءة,active,https://omrandirasat.org/maps/مخطط-تفاعلي-مجلس-الشعب-السوري-2026/,134,
أحمد نواف الجربا,الحسكة,,,M,1963,62,تعيين,أعيان,active,https://omrandirasat.org/maps/مخطط-تفاعلي-مجلس-الشعب-السوري-2026/,140,
ابراهيم مصطفى العلي,الحسكة,الحسكة,,M,1986,40,انتخابات,كفاءة,active,https://omrandirasat.org/maps/مخطط-تفاعلي-مجلس-الشعب-السوري-2026/,127,
رضوان عثمان سيدو,الحسكة,القامشلي,,M,1973,53,انتخابات,,active,https://omrandirasat.org/maps/مخطط-تفاعلي-مجلس-الشعب-السوري-2026/,131,
عبد الحكيم حواس بشار,الحسكة,عامودا,,M,1958,67,تعيين,كفاءة,active,https://omrandirasat.org/maps/مخطط-تفاعلي-مجلس-الشعب-السوري-2026/,166,
عبد الحميد عكيل العواك,الحسكة,,,M,1966,59,تعيين,كفاءة,active,https://omrandirasat.org/maps/مخطط-تفاعلي-مجلس-الشعب-السوري-2026/,167,رئيس المجلس
عبدالحليم خضر العلي,الحسكة,القامشلي,,M,1987,39,انتخابات,,active,https://omrandirasat.org/maps/مخطط-تفاعلي-مجلس-الشعب-السوري-2026/,132,
عبدالله عبدالحميد العبدالله,الحسكة,رأس العين,المزيونة,M,1988,38,انتخابات,كفاءة,active,https://omrandirasat.org/maps/مخطط-تفاعلي-مجلس-الشعب-السوري-2026/,122,
علوان عايد العلي,الحسكة,المالكية,,M,1981,45,انتخابات,كفاءة,active,https://omrandirasat.org/maps/مخطط-تفاعلي-مجلس-الشعب-السوري-2026/,135,
عمر عيسى هايس,الحسكة,الحسكة,,M,1986,40,انتخابات,كفاءة,active,https://omrandirasat.org/maps/مخطط-تفاعلي-مجلس-الشعب-السوري-2026/,128,
فصلة خضر يوسف,الحسكة,الحسكة,,F,1970,56,انتخابات,أعيان,active,https://omrandirasat.org/maps/مخطط-تفاعلي-مجلس-الشعب-السوري-2026/,129,
كبريال موشي كورية,الحسكة,القامشلي,,M,1962,63,تعيين,,active,https://omrandirasat.org/maps/مخطط-تفاعلي-مجلس-الشعب-السوري-2026/,178,
كيم حسين ابراهيم,الحسكة,القامشلي,,M,1980,46,انتخابات,,active,https://omrandirasat.org/maps/مخطط-تفاعلي-مجلس-الشعب-السوري-2026/,130,
محمد سعيد عبد القادر الحسو,الحسكة,القامشلي,,M,1965,60,تعيين,أعيان,active,https://omrandirasat.org/maps/مخطط-تفاعلي-مجلس-الشعب-السوري-2026/,187,
محمود ماضي العلي,الحسكة,القامشلي,,M,1986,40,انتخابات,,active,https://omrandirasat.org/maps/مخطط-تفاعلي-مجلس-الشعب-السوري-2026/,133,
مصطفى عبد الرحمن عبدي,الحسكة,عامودا,,M,1960,65,تعيين,كفاءة,active,https://omrandirasat.org/maps/مخطط-تفاعلي-مجلس-الشعب-السوري-2026/,194,
ياسر سليمان منصور,الحسكة,القامشلي,,M,1969,56,تعيين,كفاءة,active,https://omrandirasat.org/maps/مخطط-تفاعلي-مجلس-الشعب-السوري-2026/,206,
أحمد قدور العفدل,الرقة,,,M,1975,50,تعيين,كفاءة,active,https://omrandirasat.org/maps/مخطط-تفاعلي-مجلس-الشعب-السوري-2026/,139,
أحمد محمد حسن العمر,الرقة,الرقة,,M,1984,42,انتخابات,,active,https://omrandirasat.org/maps/مخطط-تفاعلي-مجلس-الشعب-السوري-2026/,124,
أحمد محمود الخلف الشلاش,الرقة,الرقة,السويدة,M,1980,46,انتخابات,,active,https://omrandirasat.org/maps/مخطط-تفاعلي-مجلس-الشعب-السوري-2026/,123,
حمود إبراهيم حسن الحمود,الرقة,الطبقة,,M,1959,66,تعيين,أعيان,active,https://omrandirasat.org/maps/مخطط-تفاعلي-مجلس-الشعب-السوري-2026/,153,
خليل درده العبدالله,الرقة,تل أبيض,,M,1972,53,تعيين,كفاءة,active,https://omrandirasat.org/maps/مخطط-تفاعلي-مجلس-الشعب-السوري-2026/,156,
خليل عيسى الكنعو,الرقة,تل أبيض,حمام التركمان,M,1960,66,انتخابات,,active,https://omrandirasat.org/maps/مخطط-تفاعلي-مجلس-الشعب-السوري-2026/,120,
سعد فهد الشويش,الرقة,تل أبيض,رسم المراق,M,1963,63,انتخابات,,active,https://omrandirasat.org/maps/مخطط-تفاعلي-مجلس-الشعب-السوري-2026/,121,
عبدالله مجيد الحاج عبد,الرقة,الطبقة,,M,1968,58,انتخابات,,active,https://omrandirasat.org/maps/مخطط-تفاعلي-مجلس-الشعب-السوري-2026/,126,
مقدام علي الجشعم,الرقة,الرقة,,M,1982,44,انتخابات,,active,https://omrandirasat.org/maps/مخطط-تفاعلي-مجلس-الشعب-السوري-2026/,125,
صبح عقلة البداح,السويداء,,,M,1983,42,تعيين,كفاءة,active,https://omrandirasat.org/maps/مخطط-تفاعلي-مجلس-الشعب-السوري-2026/,164,
ليث وحيد البلعوس,السويداء,,,M,1996,29,تعيين,أعيان,active,https://omrandirasat.org/maps/مخطط-تفاعلي-مجلس-الشعب-السوري-2026/,180,
أمين بشير البشير,القنيطرة,فيق,,M,1981,45,انتخابات,كفاءة,active,https://omrandirasat.org/maps/مخطط-تفاعلي-مجلس-الشعب-السوري-2026/,25,
أيمن محمد الشقيري,القنيطرة,,,M,1979,46,تعيين,أعيان,active,https://omrandirasat.org/maps/مخطط-تفاعلي-مجلس-الشعب-السوري-2026/,144,
جمال محمد النميري,القنيطرة,القنيطرة,,M,1971,55,انتخابات,,active,https://omrandirasat.org/maps/مخطط-تفاعلي-مجلس-الشعب-السوري-2026/,23,
طارق محمد الذياب,القنيطرة,القنيطرة,سويسة,M,1982,44,انتخابات,كفاءة,active,https://omrandirasat.org/maps/مخطط-تفاعلي-مجلس-الشعب-السوري-2026/,24,
يحيى محمد عماد إبراهيم,القنيطرة,,,M,1976,49,تعيين,كفاءة,active,https://omrandirasat.org/maps/مخطط-تفاعلي-مجلس-الشعب-السوري-2026/,207,
أوس فايز عثمان,اللاذقية,القرداحة,القرداحة,M,1970,56,انتخابات,كفاءة,active,https://omrandirasat.org/maps/مخطط-تفاعلي-مجلس-الشعب-السوري-2026/,65,
جمال عبدالرحمن مكيس,اللاذقية,اللاذقية,,M,1958,68,انتخابات,أعيان,active,https://omrandirasat.org/maps/مخطط-تفاعلي-مجلس-الشعب-السوري-2026/,61,
حسن محمد سليم صوفان,اللاذقية,,,M,1977,48,تعيين,كفاءة,active,https://omrandirasat.org/maps/مخطط-تفاعلي-مجلس-الشعب-السوري-2026/,149,
